,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
28187,26,876.0,"NEW YORK HOTEL AND MOTEL TRADES COUNCIL, NON FEDER",7000.0,2500.0,5257.142857142857,36800.0,7
29665,27,117.0,"MASON TENDERS DISTRICT COUNCIL, GREATER NY PAC",5000.0,1000.0,2600.0,13000.0,5
29671,27,142.0,NYS STATE LABORERS PAC-STATE FUND,7000.0,5000.0,6000.0,12000.0,2
29676,27,153.0,TRANSPORT WORKERS UNION LOCAL 100,2000.0,1000.0,1250.0,5000.0,4
29679,27,164.0,32BJ UNITED ADF,3000.0,1000.0,1916.666666666667,11500.0,6
29680,27,165.0,NEW YORK STATE UNITED TEACHERS,11000.0,5000.0,7500.0,30000.0,4
29684,27,188.0,LAWPAC OF NEW YORK,11000.0,1000.0,2900.0,29000.0,10
29686,27,196.0,1199 SEIU-NYS POLITICAL ACTION FUND,7000.0,4000.0,6000.0,18000.0,3
29709,27,523.0,REAL ESTATE BOARD PAC,7000.0,250.0,2031.25,16250.0,8
29733,27,793.0,VOICE FOR TEACHERS FOR EDUCATION PAC,1500.0,370.0,790.0,2370.0,3
29737,27,876.0,NY HOTEL TRADES COUNCIL,7000.0,5000.0,6333.333333333332,19000.0,3
30054,28,117.0,MASON TENDERS - PAC,2200.0,1000.0,1600.0,3200.0,2
30058,28,142.0,NYS LABORERS - PAC,2200.0,1200.0,1700.0,3400.0,2
30062,28,153.0,TWU LOCAL 100 - POLITICAL CONTRIBUTION ACCT,1000.0,1000.0,1000.0,1000.0,1
30069,28,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,2000.0,2000.0,2000.0,2000.0,1
30074,28,188.0,LAWPAC OF NEW YORK,4400.0,1000.0,2200.0,8800.0,4
30077,28,196.0,1199 SIEU - NYS PAC FUND,4400.0,2000.0,3600.0,10800.0,3
30098,28,793.0,VOICE OF TEACHERS FOR EDUCATION (VOTE/COPE),4400.0,300.0,1357.142857142857,9500.0,7
30103,28,876.0,NY HOTAL TRADES COUNCIL NON-FEDERAL COPE,4400.0,2000.0,3200.0,6400.0,2
30481,29,153.0,TRANSPORT WORKERS UNION LOCAL 100,1000.0,500.0,750.0,1500.0,2
30489,29,164.0,32BJ UNITED ADF,500.0,500.0,500.0,500.0,1
30490,29,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,1000.0,1000.0,1000.0,1000.0,1
30495,29,188.0,LAWPAC OF NEW YORK,1000.0,1000.0,1000.0,4000.0,4
30499,29,196.0,1199 SEIU NYS PAC,2500.0,2500.0,2500.0,2500.0,1
30516,29,523.0,REAL ESTATE BOARD PAC,500.0,250.0,416.66666666666674,1250.0,3
30539,29,793.0,VOICE OF TEACHERS VOTE/COPE NYSUT STATE ACCOUNT,2500.0,50.0,935.0,9350.0,10
